epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8909,1.64754,2.39091,1.62742,0.61477,0.59151,0.62804,0.30504,1.69667,1.56187,1.71185,0.000474949,0.000474949,0.000474949
2,109.521,1.68557,1.64502,1.58824,0.64549,0.61189,0.66269,0.3481,1.61335,1.47774,1.64907,0.000913611,0.000913611,0.000913611
3,164.602,1.64742,1.49969,1.56103,0.73164,0.70634,0.74887,0.37968,1.60861,1.30441,1.65743,0.00131455,0.00131455,0.00131455
4,217.14,1.63029,1.43713,1.54846,0.73516,0.69741,0.75667,0.41967,1.55171,1.21083,1.59927,0.00125923,0.00125923,0.00125923
5,273.123,1.57882,1.36229,1.51453,0.72891,0.77641,0.80364,0.45316,1.50284,1.069,1.56687,0.00120265,0.00120265,0.00120265
6,326.656,1.55494,1.27137,1.49021,0.75488,0.76436,0.83432,0.45385,1.50445,1.13464,1.56281,0.00114606,0.00114606,0.00114606
7,377.088,1.54124,1.23408,1.47095,0.72816,0.79557,0.80299,0.45971,1.47565,1.04912,1.52839,0.00108947,0.00108947,0.00108947
8,430.806,1.5076,1.15866,1.45552,0.79444,0.81539,0.86238,0.48644,1.45295,0.93881,1.51687,0.00103288,0.00103288,0.00103288
9,485.125,1.4907,1.15335,1.4437,0.76194,0.78671,0.82835,0.47859,1.48054,1.04656,1.53258,0.000976293,0.000976293,0.000976293
10,540.052,1.50017,1.13441,1.44837,0.82869,0.82302,0.88696,0.50337,1.45489,0.87947,1.51462,0.000919704,0.000919704,0.000919704
11,591.904,1.4615,1.07372,1.42879,0.82593,0.84692,0.87925,0.51874,1.42306,0.84971,1.49215,0.000863116,0.000863116,0.000863116
12,645.684,1.44551,1.03746,1.42334,0.85518,0.81862,0.89536,0.51223,1.44715,0.83376,1.52224,0.000806528,0.000806528,0.000806528
13,698.425,1.43495,1.02554,1.41651,0.81449,0.84465,0.89586,0.52227,1.42574,0.82708,1.50208,0.000749939,0.000749939,0.000749939
14,751.668,1.41,0.95482,1.39284,0.84375,0.83118,0.8994,0.52298,1.43638,0.80749,1.50558,0.000693351,0.000693351,0.000693351
15,805.803,1.40728,0.95805,1.38414,0.85864,0.84595,0.90997,0.53229,1.42791,0.78427,1.49522,0.000636762,0.000636762,0.000636762
16,875.629,1.38556,0.84934,1.44811,0.8738,0.81849,0.90925,0.54831,1.38515,0.77685,1.46718,0.000580174,0.000580174,0.000580174
17,928.404,1.37977,0.83761,1.44497,0.86169,0.86171,0.91963,0.54575,1.40548,0.74101,1.48411,0.000523586,0.000523586,0.000523586
18,982.848,1.35757,0.78363,1.4314,0.86229,0.86445,0.92076,0.54881,1.40172,0.74927,1.47175,0.000466997,0.000466997,0.000466997
19,1038.83,1.31963,0.75827,1.40765,0.8787,0.8689,0.92468,0.54646,1.40141,0.73157,1.47941,0.000410409,0.000410409,0.000410409
20,1091.6,1.309,0.72629,1.39844,0.86205,0.87647,0.93037,0.55024,1.38723,0.71745,1.47376,0.00035382,0.00035382,0.00035382
21,1147.3,1.29626,0.7054,1.39861,0.89783,0.86737,0.92391,0.54792,1.41468,0.69941,1.49959,0.000297232,0.000297232,0.000297232
22,1203.41,1.27858,0.68265,1.39055,0.89466,0.87149,0.93155,0.55856,1.39933,0.69346,1.47996,0.000240644,0.000240644,0.000240644
23,1253.49,1.25472,0.65377,1.36387,0.89026,0.89326,0.93103,0.56262,1.37923,0.67191,1.48072,0.000184055,0.000184055,0.000184055
24,1304.39,1.24221,0.63197,1.35423,0.88991,0.89229,0.93829,0.56723,1.37178,0.66768,1.47049,0.000127467,0.000127467,0.000127467
25,1355.92,1.22243,0.61227,1.33648,0.88389,0.90949,0.94013,0.56651,1.38156,0.66852,1.47266,7.08784e-05,7.08784e-05,7.08784e-05
