epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.936,1.69811,2.6016,1.76113,0.00916,0.36582,0.00933,0.00433,1.79202,30.0842,2.0331,0.000474949,0.000474949,0.000474949
2,255.899,1.7608,1.9122,1.75335,0.52687,0.52248,0.52427,0.27421,1.63672,2.06707,1.87532,0.000935586,0.000935586,0.000935586
3,379.842,1.71295,1.7055,1.72493,0.69592,0.57653,0.65747,0.32503,1.67842,2.04822,1.88467,0.0013805,0.0013805,0.0013805
4,503.806,1.66602,1.59588,1.70276,0.63873,0.67824,0.72498,0.37247,1.6427,1.54681,1.86069,0.00135826,0.00135826,0.00135826
5,627.995,1.62631,1.49578,1.653,0.7244,0.7391,0.77424,0.43198,1.54146,1.16834,1.75399,0.00133469,0.00133469,0.00133469
6,751.295,1.60205,1.41785,1.63454,0.70907,0.74764,0.78023,0.42335,1.54937,1.10736,1.7668,0.00131111,0.00131111,0.00131111
7,874.448,1.56279,1.37651,1.59766,0.7188,0.67898,0.74049,0.40422,1.56963,1.25313,1.76303,0.00128753,0.00128753,0.00128753
8,998.039,1.54753,1.306,1.61122,0.79126,0.77081,0.83715,0.47096,1.51191,1.03676,1.72571,0.00126395,0.00126395,0.00126395
9,1122.06,1.53001,1.28556,1.59051,0.75234,0.78843,0.82738,0.47313,1.47244,1.02648,1.69204,0.00124037,0.00124037,0.00124037
10,1245.61,1.54808,1.29234,1.59892,0.77426,0.77131,0.81467,0.46459,1.47217,1.04622,1.70137,0.00121679,0.00121679,0.00121679
11,1368.77,1.501,1.20497,1.56944,0.80942,0.79728,0.84918,0.48746,1.47719,0.96951,1.70024,0.00119322,0.00119322,0.00119322
12,1492.22,1.49827,1.18242,1.561,0.74843,0.77843,0.83774,0.47327,1.51468,0.98081,1.72731,0.00116964,0.00116964,0.00116964
13,1615.74,1.49392,1.17567,1.55637,0.80123,0.7941,0.85863,0.50114,1.44354,0.88936,1.65674,0.00114606,0.00114606,0.00114606
14,1739.15,1.4543,1.10297,1.51823,0.77421,0.78259,0.84769,0.49051,1.45161,0.96906,1.66755,0.00112248,0.00112248,0.00112248
15,1862.61,1.46844,1.11711,1.52209,0.78484,0.82931,0.86712,0.50548,1.45874,0.8861,1.65676,0.0010989,0.0010989,0.0010989
16,1985.99,1.45321,1.0946,1.52768,0.82769,0.81973,0.87102,0.49921,1.45196,0.89072,1.67831,0.00107532,0.00107532,0.00107532
17,2109.53,1.44631,1.06635,1.51536,0.77635,0.83543,0.86636,0.5005,1.45501,0.89843,1.66124,0.00105174,0.00105174,0.00105174
18,2232.76,1.43831,1.04469,1.50806,0.78823,0.81435,0.8708,0.50584,1.46792,0.88651,1.6812,0.00102817,0.00102817,0.00102817
